LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,CURRENT_OPERATIONAL_RATING,YR1_OPERATIONAL_RATING,YR2_OPERATIONAL_RATING,OPERATIONAL_RATING_BAND,ELECTRIC_CO2,HEATING_CO2,RENEWABLES_CO2,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,MAIN_BENCHMARK,MAIN_HEATING_FUEL,OTHER_FUEL,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,TOTAL_FLOOR_AREA,ANNUAL_THERMAL_FUEL_USAGE,TYPICAL_THERMAL_FUEL_USAGE,ANNUAL_ELECTRICAL_FUEL_USAGE,TYPICAL_ELECTRICAL_FUEL_USAGE,RENEWABLES_FUEL_THERMAL,RENEWABLES_ELECTRICAL,YR1_ELECTRICITY_CO2,YR2_ELECTRICITY_CO2,YR1_HEATING_CO2,YR2_HEATING_CO2,YR1_RENEWABLES_CO2,YR2_RENEWABLES_CO2,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,BUILDING_CATEGORY,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,NOMINATED_DATE,OR_ASSESSMENT_END_DATE,LODGEMENT_DATETIME,OCCUPANCY_LEVEL,UPRN,UPRN_SOURCE
35265220022010051208593681050462,ADMIN/HALL/KITCHEN/SPORTS HALL,Netherhall Upper School,Queen Ediths Way,CB1 8NN,682224150002,114.0,,,E,72.0,66.0,0.0,Schools And Seasonal Public Buildings,2010-05-04,E07000008,E14000934,Cambridgeshire County,2010-05-12,Schools And Seasonal Public Buildings,Natural Gas,,Not applicable,Not applicable,2275,149.0,159.0,57.0,40.0,0.0,0.0,,,,,,,No,,,4.0,Heating and Natural Ventilation,S3;,"ADMIN/HALL/KITCHEN/SPORTS HALL, Netherhall Upper School, Queen Ediths Way",Cambridge,South Cambridgeshire,CAMBRIDGE,2010-03-31,2010-03-31,2010-05-12 08:59:36,,,
35265360332010051209060242000298,HUMANITIES,Netherhall Upper School,Queen Ediths Way,CB1 8NN,682224150003,114.0,,,E,67.0,62.0,0.0,Schools And Seasonal Public Buildings,2010-05-04,E07000008,E14000934,Cambridgeshire County,2010-05-12,Schools And Seasonal Public Buildings,Natural Gas,,Not applicable,Not applicable,2140,149.0,159.0,57.0,40.0,0.0,0.0,,,,,,,Yes,,1.0,5.0,Heating and Natural Ventilation,S3;,"HUMANITIES, Netherhall Upper School, Queen Ediths Way",Cambridge,South Cambridgeshire,CAMBRIDGE,2010-03-31,2010-03-31,2010-05-12 09:06:02,,200004202889.0,Address Matched
35265440842010051209100154140050,TEACHING BLOCK,Netherhall Upper School,Queen Ediths Way,CB1 8NN,682224150004,0.0,,,A,0.0,0.0,,Schools And Seasonal Public Buildings,2010-05-04,E07000008,E14000934,Cambridgeshire County,2010-05-12,Schools And Seasonal Public Buildings,Natural Gas,,,,3923,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,,1.0,5.0,Heating and Natural Ventilation,S3;,"TEACHING BLOCK, Netherhall Upper School, Queen Ediths Way",Cambridge,South Cambridgeshire,CAMBRIDGE,2010-03-31,2010-03-31,2010-05-12 09:10:01,,200004202889.0,Address Matched
46509640342011020111062495810990,MAIN BUILDING,Coleridge Community College,Radegund Road,CB1 3RJ,133644890001,95.0,,,D,84.0,165.0,0.0,Schools And Seasonal Public Buildings,2011-01-15,E07000008,E14000617,Cambridgeshire County,2011-02-01,Schools And Seasonal Public Buildings,Natural Gas,,,,4868,174.0,164.0,32.0,40.0,0.0,0.0,,,,,,,Yes,40.0,,2.0,Heating and Natural Ventilation,S3;,"MAIN BUILDING, Coleridge Community College, Radegund Road",Cambridge,Cambridge,CAMBRIDGE,2010-10-01,2010-09-30,2011-02-01 11:06:24,Standard Occupancy,200004213739.0,Address Matched
47387870842011022118322901610290,MAIN BUILDING,Parkside Community College,Parkside,CB1 1EH,688077600001,168.0,200.0,,G,162.0,110.0,0.0,Schools And Seasonal Public Buildings,2011-01-29,E07000008,E14000617,Cambridgeshire County,2011-02-21,Schools And Seasonal Public Buildings,Natural Gas,,,,2246,251.0,197.0,132.0,61.0,0.0,0.0,0.0,,0.0,,0.0,,Yes,61.0,,1.0,Heating and Natural Ventilation,S3;,"MAIN BUILDING, Parkside Community College, Parkside",Cambridge,Cambridge,CAMBRIDGE,2009-10-01,2009-10-01,2011-02-21 18:32:29,Extended Occupancy,200004214443.0,Address Matched
48396787052011032316084904019105,MAIN BUILDING,Cambridgeshire Learning Disability Partnership,"Horizon Resource Centre, Coldhams Lane",CB1 3HY,157774900001,169.0,147.0,145.0,G,26.0,84.0,0.0,Schools And Seasonal Public Buildings,2011-03-08,E07000008,E14000617,Cambridgeshire County,2011-03-23,Schools And Seasonal Public Buildings,Natural Gas,,,,1178,367.0,172.0,41.0,40.0,0.0,0.0,17.0,24.0,84.0,77.0,0.0,0.0,No,,,4.0,Heating and Natural Ventilation,S3;,"MAIN BUILDING, Cambridgeshire Learning Disability Partnership, Horizon Resource Centre, Coldhams Lane",Cambridge,Cambridge,CAMBRIDGE,2011-03-21,2010-12-31,2011-03-23 16:08:49,Standard Occupancy,200004213649.0,Address Matched
54709110102011092110570660940980,ADMIN/HALL/KITCHEN/SPORTS HALL,The Netherhall School,Queen Ediths Way,CB1 8NN,916481960004,105.0,114.0,,E,76.0,52.0,0.0,Schools And Seasonal Public Buildings,2011-08-10,E07000008,E14000934,Cambridgeshire County,2011-09-21,Schools And Seasonal Public Buildings,Natural Gas,,,,2275,118.0,164.0,61.0,40.0,0.0,0.0,72.0,,66.0,,0.0,,No,,,4.0,Heating and Natural Ventilation,S3;,"ADMIN/HALL/KITCHEN/SPORTS HALL, The Netherhall School, Queen Ediths Way",Cambridge,South Cambridgeshire,CAMBRIDGE,2011-03-31,2011-02-28,2011-09-21 10:57:06,Standard Occupancy,200004202889.0,Address Matched
54708908952011092110595601029961,HUMANITIES,The Netherhall School,Queen Ediths Way,CB1 8NN,916481960002,104.0,114.0,,E,76.0,52.0,0.0,Schools And Seasonal Public Buildings,2011-08-10,E07000008,E14000934,Cambridgeshire County,2011-09-21,Schools And Seasonal Public Buildings,Natural Gas,,,,2293,117.0,164.0,61.0,40.0,0.0,0.0,67.0,,62.0,,0.0,,No,,,4.0,Heating and Natural Ventilation,S3;,"HUMANITIES, The Netherhall School, Queen Ediths Way",Cambridge,South Cambridgeshire,CAMBRIDGE,2011-03-31,2011-02-28,2011-09-21 10:59:56,Standard Occupancy,200004202889.0,Address Matched
54709080062011092110584119980093,DT/SCIENCE,The Netherhall School,Queen Ediths Way,CB1 8NN,916481960003,103.0,114.0,,E,44.0,30.0,0.0,Schools And Seasonal Public Buildings,2011-08-10,E07000008,E14000934,Cambridgeshire County,2011-09-21,Schools And Seasonal Public Buildings,Natural Gas,,,,1322,116.0,164.0,60.0,40.0,0.0,0.0,43.0,,40.0,,0.0,,No,,,4.0,Heating and Natural Ventilation,S3;,"DT/SCIENCE, The Netherhall School, Queen Ediths Way",Cambridge,South Cambridgeshire,CAMBRIDGE,2011-03-31,2011-02-28,2011-09-21 10:58:41,Standard Occupancy,200004202889.0,Address Matched
34946010142011092213244260910980,TEACHING BLOCK,The Netherhall School,Queen Ediths Way,CB1 8NN,916481960001,104.0,,,E,130.0,88.0,0.0,Schools And Seasonal Public Buildings,2011-08-10,E07000008,E14000934,Cambridgeshire County,2011-09-22,Schools And Seasonal Public Buildings,Natural Gas,,,Ground source heat pump feeds under floor heating in Hall and Stage area.,3923,115.0,161.0,60.0,40.0,0.0,0.0,,,,,,,No,,,3.0,Heating and Natural Ventilation,S3;,"TEACHING BLOCK, The Netherhall School, Queen Ediths Way",Cambridge,South Cambridgeshire,CAMBRIDGE,2011-05-01,2011-04-30,2011-09-22 13:24:42,Standard Occupancy,200004202889.0,Address Matched
